beer.id,beer.name,beer.abv,beer.style,beer.brewerid
162,Lucknow Munich-Style Lager,,Munich Helles Lager,54
163,Lucknow Porter,,American Porter,54
164,Lucknow IPA,,American IPA,54
165,Pale Rider Ale,,American Pale Ale (APA),56
166,Celis Pale Bock,,Bock,56
167,Celis White,,Witbier,56
168,Celis Grand Cru,,Witbier,56
169,Celis Dubbel Ale,,Dubbel,56
171,Dos Equis Amber Lager,4.5,Vienna Lager,57
174,Concord Pale Ale,,American Pale Ale (APA),59
175,Nine Man Ale Golden Ale,4.3,American Blonde Ale,60
176,Benchwarmer Porter,6.3,English Porter,60
178,Strike Out Stout,4.6,English Stout,60
179,Cottrell Old Yankee Ale,5,American Pale Ale (APA),61
180,Smuttynose Winter Porter (Big Beer Series),5.2,American Porter,141
181,Smuttynose Barleywine Style Ale (Big Beer Series),10,American Barleywine,141
182,Smuttynose Portsmouth Lager,4.5,Vienna Lager,141
183,Smuttynose Octoberfest (Big Beer Series),6.7,Märzen / Oktoberfest,141
184,Smuttynose Old Brown Dog Ale,6.5,American Brown Ale,141
185,Smuttynose Imperial Stout (Big Beer Series),9.8,Russian Imperial Stout,141
186,Smuttynose Shoals Pale Ale,5.4,American Pale Ale (APA),141
187,Smuttynose Chuck Wheat Ale,,American Pale Wheat Ale,141
188,Smuttynose Maibock (Big Beer Series),8.7,Maibock / Helles Bock,141
192,Geary's Pale Ale,4.5,English Pale Ale,62
193,Geary's London Style Porter,4.2,English Porter,62
194,Cascade Ale,4.5,American Blonde Ale,63
195,Mirror Pond Pale Ale,5,American Pale Ale (APA),63
196,Bachelor ESB,5.3,Extra Special / Strong Bitter (ESB),63
197,Obsidian Stout,6.4,American Stout,63
198,Black Butte Porter,5.2,American Porter,63
199,Immort Ale,11,American Strong Ale,10099
200,Dornbusch Gold,,Munich Helles Lager,65
201,Dornbusch Alt,,Altbier,65
202,Einbecker Mai-Ur-Bock,6.5,Maibock / Helles Bock,66
203,Laguna Bay Australian Pale Ale,,English Pale Ale,67
204,Old Scratch Amber Lager,5.5,California Common / Steam Beer,68
205,Snake Dog IPA,7.1,American IPA,68
206,Road Dog Porter,6,American Porter,68
207,Hempen Golden,,Herbed / Spiced Beer,69
208,Bee Sting Honey Ale,5.9,American Pale Ale (APA),158
209,Ridgeline Amber Ale,5.4,Scottish Ale,158
210,Full Sail Stout,6.2,American Stout,5316
211,Full Sail Pilsner,5.4,German Pilsener,5316
212,Full Sail ESB,5.5,Extra Special / Strong Bitter (ESB),5316
213,Full Sail Amber,5.5,American Amber / Red Ale,5316
214,Full Sail Pale Ale,5.4,American Pale Ale (APA),5316
215,Imperial Porter,7,Baltic Porter,5316
217,Full Sail Wassail,7,Winter Warmer,5316
219,Fuller's ESB,5.9,Extra Special / Strong Bitter (ESB),71
220,Fuller's Old Winter Ale,5.3,Winter Warmer,71
221,Fuller's London Porter,5.4,English Porter,71
222,Fuller's London Pride,4.7,English Pale Ale,71
224,Schneider Aventinus,8.2,Weizenbock,72
225,Great Lakes Burning River Pale Ale,6,American Pale Ale (APA),73
226,Great Lakes Edmund Fitzgerald Porter,5.8,American Porter,73
227,Great Lakes Cleveland Brown Ale,6.8,English Brown Ale,73
228,Great Lakes Dortmunder Gold,5.8,Dortmunder / Export Lager,73
229,Great Lakes Eliot Ness,6.2,Vienna Lager,73
230,Gritty McDuff's Best Brown,,English Brown Ale,74
231,Gritty McDuff's Best Bitter,5,English Bitter,74
232,Corona Extra,4.6,American Adjunct Lager,75
233,Corona Light,4.1,Light Lager,75
234,Hacker-Pschorr Oktoberfest-Märzen,5.8,Märzen / Oktoberfest,76
235,Burton Bridge Empire India Pale Ale,7.5,English India Pale Ale (IPA),159
236,Hobgoblin,5.2,English Brown Ale,160
237,Fiddler's Elbow,5.2,English Pale Ale,160
238,Hammer & Nail Brown Ale,,English Brown Ale,77
239,Hammer & Nail Vienna Style Lager,,Vienna Lager,77
240,Hammer & Nail Scotch Classic Style Ale,,Scotch Ale / Wee Heavy,77
241,Hammer & Nail Extra Special Bitter Ale,6.7,Extra Special / Strong Bitter (ESB),77
243,Alba Scots Pine Ale,7.5,Scottish Gruit / Ancient Herbed Ale,12142
244,Grozet Gooseberry & Wheat Ale,5,Scottish Gruit / Ancient Herbed Ale,12142
245,Fraoch Heather Ale,5,Scottish Gruit / Ancient Herbed Ale,12142
246,Heineken Lager Beer,5,Euro Pale Lager,81
248,Hoegaarden Original White Ale,4.9,Witbier,83
249,Edelweiss Weissbier,5.4,Hefeweizen,84
250,Hyland American Pale Ale,6,American Pale Ale (APA),85
251,Hyland Amber Ale,5.25,American Amber / Red Ale,85
254,Ipswich Winter Ale,6.2,Old Ale,162
255,Ipswich Original Ale,5.4,English Pale Ale,162
256,1084 Barley Wine Ale,,English Barleywine,162
257,Ipswich Nut Brown Ale,5.5,English Brown Ale,162
258,Ipswich ESB,,Extra Special / Strong Bitter (ESB),162
259,Ipswich India Pale Ale (I.P.A.),6.5,American IPA,162
260,Ipswich Oatmeal Stout,7,Oatmeal Stout,162
261,Iron Range Amber Lager,4.48,Vienna Lager,88
262,Saint Bridget's Porter,5.9,American Porter,158
263,Schlitz,4.6,American Adjunct Lager,106
264,Alexander Keith's India Pale Ale,5,English India Pale Ale (IPA),6994
265,Old Porter,,American Porter,90
266,Kingfisher Premium Lager,4.8,American Pale Lager,91
267,Pilsener,3.9,German Pilsener,92
268,Suprema,4.5,American Adjunct Lager,92
270,IPA,5.9,English India Pale Ale (IPA),94
271,Hibernator,5.6,Scottish Ale,94
272,Harvest,4.6,American Brown Ale,94
273,Double Bag,7.2,Altbier,94
275,Ybor Gold Wheat Ale,3.9,American Pale Wheat Ale,161
276,Sierra Nevada Pale Ale,5.6,American Pale Ale (APA),140
278,Ybor Gold Brown Ale,4.4,English Brown Ale,161
279,Sierra Nevada Porter,5.6,American Porter,140
280,Löwenbräu Original,5.2,Munich Helles Lager,95
281,Löwenbräu Premium Dark,5.5,Munich Dunkel Lager,95
282,Sierra Nevada Wheat Beer,4.4,American Pale Wheat Ale,140
283,Sierra Nevada Stout,5.8,American Stout,140
284,Feast Of Fools,5,Fruit / Vegetable Beer,96
286,Ravell,4.8,American Porter,96
287,Summer Ale,5.1,American Pale Ale (APA),139
288,Prelude Special Ale,6.8,Winter Warmer,139
289,Brewer's Brown Ale,5.4,English Brown Ale,139
290,Longfellow Winter Ale,5.9,English Porter,139
291,Blue Fin Stout,4.7,Irish Dry Stout,139
292,Hocus Pocus,4.5,American Pale Wheat Ale,96
293,Old Thumper ESA,5.9,Extra Special / Strong Bitter (ESB),139
294,Bob's 1st Ale,4.8,American Amber / Red Ale,96
295,Fat Angel,5,American Pale Ale (APA),96
296,Jinx,6.9,Scotch Ale / Wee Heavy,96
297,Heart Of Darkness,5.3,Oatmeal Stout,96
298,Blind Faith,6.2,English India Pale Ale (IPA),96
299,"#9",5.1,Fruit / Vegetable Beer,96
300,Miss Bliss,4.5,Herbed / Spiced Beer,96
301,Black Pearl Cream Ale,5.3,Cream Ale,97
302,India Pale Ale,4.5,English India Pale Ale (IPA),138
303,King's Honey Amber Ale,,American Amber / Red Ale,97
304,Original Porter,4.8,American Porter,138
305,Spitfire (Premium Ale Export),4.5,English Pale Ale,138
306,Casey's Smooth Stout,,Irish Dry Stout,138
307,Harpoon Summer Beer,5.5,Kölsch,10097
308,Harpoon ESB,5.5,Extra Special / Strong Bitter (ESB),10097
309,Harpoon Spring Maibock,5.8,Maibock / Helles Bock,10097
310,Harpoon Winter Warmer,5.5,Winter Warmer,10097
311,Harpoon IPA,5.9,American IPA,10097
312,Harpoon Ale,4.9,American Pale Ale (APA),10097
313,Harpoon Octoberfest Beer,5.5,Märzen / Oktoberfest,10097
314,Harpoon Munich Type Dark Beer,5.6,Munich Dunkel Lager,10097
315,Harpoon Pilsner,,German Pilsener,10097
316,Pickwick Ale,4.7,American Blonde Ale,10097
318,UFO Hefeweizen,5.1,American Pale Wheat Ale,10097
319,Saranac Pilsener,5.3,German Pilsener,99
320,Saranac Lager,4.7,American Pale Lager,99
321,Saranac Black Forest,5.5,Schwarzbier,99
322,McNeill's Oatmeal Stout,4.9,Oatmeal Stout,100
323,McNeill's Duck's Breath Bitter,5.5,Extra Special / Strong Bitter (ESB),100
324,McNeill's Champ Ale,5.5,American Pale Ale (APA),100
325,McNeill's Firehouse Amber Ale,5.6,American Amber / Red Ale,100
327,Michelob Pale Ale,5.5,English Pale Ale,29
328,Syracuse Pale Ale,5,American Pale Ale (APA),103
329,Beast Bitter,5.3,Extra Special / Strong Bitter (ESB),103
330,Grail Ale,5,American Amber / Red Ale,103
331,ImPaled Ale,6.5,English India Pale Ale (IPA),103
332,Miller Lite,4.17,Light Lager,105
334,Millstream Oktoberfest,5.7,Märzen / Oktoberfest,107
335,Millstream Lager,,American Adjunct Lager,107
336,Millstream Schild Brau Amber,4.9,Vienna Lager,107
337,Stone Cat E.S.B.,5.6,Extra Special / Strong Bitter (ESB),162
338,Stone Cat Ale,,American Pale Ale (APA),162
339,Stone Cat I.P.A.,,American IPA,162
340,Pendle Witches Brew,5.1,English Pale Ale,109
341,Black Cat,3.4,English Dark Mild Ale,109
344,Sea Dog Cabin Fever Winter Stock Ale,8,Winter Warmer,137
345,Sea Dog Blue Paw Wheat Ale,4.6,Fruit / Vegetable Beer,137
346,Sea Dog Windjammer Blonde Ale,5,American Blonde Ale,137
347,Sea Dog Old East India Pale Ale,6.2,English India Pale Ale (IPA),137
348,Wasatch Slickrock Lager,4,American Adjunct Lager,136
349,Jupiler,5.2,Euro Pale Lager,134
350,Ruddles Pub Ale,4,English Pale Ale,203
353,Mocha Porter,5.3,American Porter,132
354,Chipotle Ale,5.5,Chile Beer,132
355,Dead Guy Ale,6.5,Maibock / Helles Bock,132
356,Imperial Stout,11,Russian Imperial Stout,132
357,Smoke Ale,6,Smoked Beer,132
358,XS Imperial India Pale Ale,9.5,American Double / Imperial IPA,132
360,Artisan Vienna Lager,,Vienna Lager,132
361,Brutal Bitter Ale,5.8,American IPA,132
362,Oregon Golden Ale,,American Blonde Ale,132
363,American Amber Ale,5.6,American Amber / Red Ale,132
364,Half-E-Weizen,4.8,Witbier,132
365,Honey Cream Ale,5.5,Cream Ale,132
366,Rockies Fall Fest Amber Ale,5.13,American Amber / Red Ale,130
367,"Boulder, Extra Pale Ale",,American Pale Ale (APA),130
368,Nor'easter Stout,,English Stout,131
369,Schooner Point Lager,,American Adjunct Lager,131
370,Tucher Dunkles Hefe Weizen,5.35,Dunkelweizen,129
371,Tucher Helles Hefe Weizen,5.35,Hefeweizen,129
372,Tucher Kristall Weizen,5.1,Kristalweizen,129
374,Oberdorfer Hefeweizen Dunkel,5.5,Dunkelweizen,128
375,Bobby Dazzler,6.5,Winter Warmer,127
376,Pete's Wicked Summer Brew,,Fruit / Vegetable Beer,126
377,Pete's Wicked Winter Brew,5.2,Fruit / Vegetable Beer,126
378,Pete's Wicked Oktoberfest,5.8,Märzen / Oktoberfest,126
379,Pete's Wicked ESP,,American Adjunct Lager,126
380,Pete's Wicked Springfest,,Maibock / Helles Bock,126
381,Pete's Wicked Strawberry Blonde,5,Fruit / Vegetable Beer,126
382,Penn Weizen,5,Hefeweizen,125
383,Penn Dark,5,Munich Dunkel Lager,125
384,Penn Gold,4,Munich Helles Lager,125
385,Penn Pilsner,4,Vienna Lager,125
386,Paulaner Oktoberfest-Märzen,6,Märzen / Oktoberfest,124
387,Salvator Doppel Bock,7.9,Doppelbock,124
388,Paulaner Original Münchner,4.9,Munich Helles Lager,124
389,Winter Palace Wee Heavy,8,Scotch Ale / Wee Heavy,123
390,India'n Pale Ale,,American IPA,123
391,Holyoke Dam Ale,,American Pale Ale (APA),123
392,Cabot Street Wheat,5.5,Hefeweizen,123
393,Paper City Pilsner,,German Pilsener,123
394,Ireland Parish Brand Golden Ale,,English Pale Ale,123
395,Three Stooges Curly's Light,,Light Lager,122
396,The Three Stooges Beer,,American Adjunct Lager,122
397,Wolaver's Brown Ale,5.7,English Brown Ale,119
398,Wolaver's Pale Ale,5.8,American Pale Ale (APA),119
399,Wolaver's India Pale Ale,6.5,American IPA,119
400,Premium Dark,,Munich Dunkel Lager,120
401,Dark Island,4.6,Scottish Ale,118
402,SkullSplitter,8.5,Scotch Ale / Wee Heavy,118
403,ACME California IPA,6.5,American IPA,112
404,Tremont Festival Ale,,Extra Special / Strong Bitter (ESB),154
405,ACME California Brown Ale,5.6,American Brown Ale,112
406,ACME California Pale Ale,5,American Pale Ale (APA),112
407,Blue Star Great American Wheat Beer,4.5,American Pale Wheat Ale,112
408,Old #38 Stout,5.6,Irish Dry Stout,112
409,Scrimshaw Pilsner,4.4,German Pilsener,112
410,Ruedrich's Red Seal Ale,5.5,American Amber / Red Ale,112
411,Pranqster,7.6,Belgian Strong Pale Ale,112
412,Old Rasputin Russian Imperial Stout,9,Russian Imperial Stout,112
413,Allston Beer,,American Pale Lager,11
414,Springfest Maibock,,Maibock / Helles Bock,11
415,Cherry 2000,,Lambic - Fruit,11
416,Nail in the Brain Barley Wine,,American Barleywine,11
417,Trappist Monkey Abbey Ale,,Dubbel,11
418,Dortmunder Export Lager,,Dortmunder / Export Lager,11
419,Griggs ST Mild,,American Pale Ale (APA),11
420,MacFearsome's Scotch Ale,,Scotch Ale / Wee Heavy,11
421,Palatine Porter,,American Porter,11
422,Oak Whiskey Porter,,American Porter,11
423,Grampus Trippel,,Tripel,11
424,Triple Black,,Fruit / Vegetable Beer,11
425,Black Sow Stout,,American Stout,11
426,Lobsterback IPA,,American IPA,11
427,Nor'Easter Copper Ale,,American Pale Ale (APA),11
428,Munchener Helles,,Munich Helles Lager,11
429,Pilsner Urquell,4.4,Czech Pilsener,1
430,Otter Creek Mud Bock Spring Ale,5.7,American Brown Ale,119
431,Otter Creek Stovepipe Porter,4.4,American Porter,119
432,Otter Creek Pale Ale,4.6,American Pale Ale (APA),119
433,Otter Creek A Winter's Ale,5.8,Smoked Beer,119
434,Otter Creek Copper Ale,5.4,Altbier,119
435,Otter Summer Ale,4.9,American Pale Wheat Ale,119
436,Amstel Light,3.5,Light Lager,163
437,Nutfield Harvest Ale,,American Amber / Red Ale,115
438,Le Coq Imperial Extra Double Stout,10,Russian Imperial Stout,164
439,Original Sarah Hughes Dark Ruby Mild,6,English Dark Mild Ale,165
440,Desert Mist Golden Ale,4.7,American Blonde Ale,166
441,Red Feather Premium Ale,,American Amber / Red Ale,166
442,Lobkowicz Baron,4.7,Munich Dunkel Lager,167
443,Lobkowicz Prince,5.7,Maibock / Helles Bock,167
444,Lobkowicz Knight,4.8,Czech Pilsener,167
448,Allagash Tripel Ale,9,Tripel,4
449,Stella Artois,5,Euro Pale Lager,169
450,Smuttynose Belgian Style White Ale (Big Beer Series),4.3,Witbier,141
451,Climax Wheat,,American Pale Wheat Ale,9343
452,Brew Moon Old Toasted Head,,Old Ale,1567
453,Brew Moon Big Bang Brown,,English Brown Ale,1567
454,Bannatyne's Scotch Ale,9.2,Scotch Ale / Wee Heavy,14
455,Brewnet Bombshell,,Altbier,13
456,Cranberry Ale,,Fruit / Vegetable Beer,1548
457,Sunday River Alt Beer,,Altbier,170
458,Veltins Pilsner,4.8,German Pilsener,172
459,Fred,10,American Strong Ale,173
460,"#29 Spawn Of Adam Bier",10,Old Ale,173
461,MacTarnahan's Amber Ale,5,American Amber / Red Ale,127
462,Summer Pale Ale,,American Pale Ale (APA),127
463,Oregon Honey Beer,,American Pale Ale (APA),127
464,Zig-Zag Lager,,American Adjunct Lager,127
465,Haystack Black Porter,,American Porter,127
472,Harvest Spice Ale,,Herbed / Spiced Beer,1548
473,Dunster Street Amber,,American Amber / Red Ale,1548
475,Light Ale,,American Pale Ale (APA),1548
476,Pale Ale,5.1,English Pale Ale,1548
477,Irish Dry Stout,3.9,Irish Dry Stout,1548
479,Blueberry Wheat,,Fruit / Vegetable Beer,1548
480,Hugh Hefeweizen,,Hefeweizen,1548
481,Colonial Kölsch,,Kölsch,1548
482,AAA Gold,,American Blonde Ale,1548
483,Milk Stout,,Milk / Sweet Stout,1548
485,Nut Brown Ale,5.5,English Brown Ale,1548
486,Christmas Ale,,Extra Special / Strong Bitter (ESB),1548
487,Cherry Blossom,,Fruit / Vegetable Beer,1548
488,India Pale Ale (IPA),,American IPA,1548
489,Belgian Spiced Ale,,Belgian Pale Ale,1548
490,Winter Welcome,,Extra Special / Strong Bitter (ESB),13
491,Special Old Ale,,Old Ale,13
492,Summer Bitter,,English Bitter,13
493,Commonwealth IPA,,English India Pale Ale (IPA),13
494,American Pale Ale,,American Pale Ale (APA),13
495,Blonde Ale,,English Pale Ale,13
496,Golden Ale,,English Pale Ale,13
497,Famous Porter,,American Porter,13
498,Brown Ale,,English Brown Ale,13
499,Boston's Best Burton Ale,,Extra Special / Strong Bitter (ESB),13
500,Best Bitter,,English Bitter,13
501,Stout,,English Stout,13
502,Saison du CBC,,Saison / Farmhouse Ale,14
503,Dunkles Weizen,5.6,Dunkelweizen,14
504,80 Schilling Scottish Ale,6.1,Scottish Ale,14
505,Big Man Ale,6.8,American IPA,14
506,Hopalong's ESB,5.2,Extra Special / Strong Bitter (ESB),14
507,Hefeweizen,6,Hefeweizen,14
508,Bitchin' Special Bitter,4.7,Extra Special / Strong Bitter (ESB),14
509,Biere De Garde,8,Bière de Garde,14
510,Blunderbuss Barley Wine,11.5,American Barleywine,14
511,Beantowne Espresso Stout,5.6,American Stout,14
512,Regatta Golden,4.2,Kölsch,14
513,Tall Tale Pale Ale,5.9,American Pale Ale (APA),14
514,Cambridge Amber,4.9,American Amber / Red Ale,14
515,Charles River Porter,5.9,American Porter,14
516,Thetford IPA,,American IPA,14
517,Brew Moon Echo Rock Pale Ale,,American Pale Ale (APA),1567
518,Brew Moon Broadway Blonde,,American Blonde Ale,1567
519,Brew Moon Hefeweizen,,Hefeweizen,1567
520,Brew Moon Tony's Steamin Lager,,California Common / Steam Beer,1567
521,Brew Moon Prussia's Pride ESB,,Extra Special / Strong Bitter (ESB),1567
522,Brew Moon Toasted Head IPA,,American IPA,1567
523,Brew Moon Moon Light,,Light Lager,1567
524,Brew Moon Purple Plum Wheat Ale,,Fruit / Vegetable Beer,1567
525,Brew Moon Herbale,,Herbed / Spiced Beer,1567
526,Brew Moon Planetary Porter,,American Porter,1567
527,Brew Moon Alternative Ale,,Altbier,1567
529,Brew Moon Munich Gold,,Munich Helles Lager,1567
531,Brew Moon Lost Planet EPA,,American Pale Ale (APA),1567
532,Brew Moon Oktoberfest,,American Amber / Red Ale,1567
534,Brew Moon Orion Red,,Irish Red Ale,1567
535,Brew Moon Mayberry Wheat R.F.D.,,Fruit / Vegetable Beer,1567
537,Independence Rye,,Rye Beer,9343
538,Fenway Pale Ale,5.5,American Pale Ale (APA),9343
539,Muddy River Porter,5.5,American Porter,9343
540,Curley's Irish Stout,4,Irish Dry Stout,9343
541,Haymarket Hefe-Weizen,4.5,Hefeweizen,9343
542,ASB 99,,American Pale Ale (APA),9343
543,Mayflower Maibock,,Maibock / Helles Bock,9343
544,Canal Street Cream Ale,,Cream Ale,9343
545,Bay State ESB,6,Extra Special / Strong Bitter (ESB),9343
546,Printemps Saison,,Saison / Farmhouse Ale,9343
549,Bambino Ale,4,American Blonde Ale,9343
551,Allston Mild,3.5,English Dark Mild Ale,9343
552,Back Bay IPA,6.5,American IPA,9343
553,Bunker Hill Blueberry Ale,4.8,Fruit / Vegetable Beer,9343
554,Buck Eye Oatmeal Stout,5,Oatmeal Stout,9343
556,Boston Red,5.2,American Amber / Red Ale,9343
557,Eisbock,,Eisbock,9343
558,Premium American Lager,,American Adjunct Lager,9343
