Beer abv, Average rating
5.7,3.7411134505821155
5.72,3.6875
5.73,3.4881656804733727
5.74,3.75
5.75,3.756710590531967
5.77,3.596466093600764
5.78,3.625
5.79,3.8160377358490565
5.8,3.8970284554268315
5.81,3.9722222222222223
5.82,4.0
5.83,3.5
5.85,4.0
5.86,3.0655737704918034
5.87,4.5
5.88,3.3742138364779874
5.89,3.5
5.9,3.749246728650138
5.91,4.125
5.93,3.370103092783505
5.94,3.7079646017699117
5.95,3.9285714285714284
5.97,4.0
5.98,4.0
5.99,4.366666666666666
57.7,4.0
6,3.865454322989156
6.04,4.25
6.07,3.7
6.08,3.891891891891892
6.09,4.0
6.1,3.987180593922652
6.11,4.0
6.13,3.6538461538461537
6.14,4.25
6.15,3.6666666666666665
6.18,4.25
6.19,4.5
6.2,3.8626573960232333
6.21,3.8663003663003663
6.23,4.166666666666667
6.24,4.02
6.25,3.8935040599625235
6.27,4.5
6.29,4.75
6.3,3.846933187294633
6.31,3.98
6.32,4.75
6.33,4.04468085106383
6.35,4.01063829787234
6.38,3.875
6.4,3.879724499089253
6.42,3.642857142857143
6.45,3.875
6.5,3.890208604684819
6.55,2.75
6.56,4.25
6.58,3.71875
6.59,3.857142857142857
6.6,3.853689995513683
6.61,3.0454545454545454
6.65,4.1
6.66,3.5959147424511544
6.67,4.25
6.7,4.015175338288546
6.71,4.0
6.72,3.8529411764705883
6.75,4.036538461538462
6.77,4.25
6.78,4.0
6.8,3.9039736828364053
6.82,3.727272727272727
6.83,4.620535714285714
6.85,3.8333333333333335
6.86,4.115384615384615
6.87,4.5
6.88,3.914772727272727
6.9,4.008844953173777
6.95,3.9782608695652173
6.98,4.25
7,3.9228893373696603
7.07,4.0
7.08,4.2
7.09,4.25
7.1,3.9051582069874753
7.13,3.7976190476190474
7.15,3.945945945945946
7.17,4.0
7.2,3.9469201359388277
7.21,3.5
7.23,3.642857142857143
7.24,4.0
7.25,4.159478305785124
7.26,4.25
7.3,3.8633646456020494
7.33,3.9583333333333335
7.35,4.0
7.37,4.1875
7.39,4.6
7.4,3.87494614390349
7.43,3.7142857142857144
7.45,4.056603773584905
7.48,3.9107142857142856
7.5,3.9341512832057632
7.51,5.0
7.52,4.416666666666667
7.57,4.0
7.58,3.760869565217391
7.6,3.8997107039537124
7.61,3.7
7.62,3.6666666666666665
7.67,4.0
7.68,3.456117021276596
7.69,3.859903381642512
7.7,4.0446410308856615
7.71,3.5
7.74,3.5
7.75,4.050771730300569
7.77,4.125
7.79,3.534782608695652
7.8,3.8630065554231225
7.82,3.727272727272727
7.83,3.9312080536912752
7.85,4.129943502824859
7.87,4.25
7.88,3.0
7.9,3.775444264943457
7.92,3.96875
7.99,3.75
8,3.924532061880019
8.02,4.4
8.03,3.6451612903225805
8.06,4.247058823529412
8.08,2.0
8.1,3.8140436530729467
8.12,3.58125
8.17,2.0
8.19,3.6104294478527605
8.2,3.9249808624649147
8.21,3.2857142857142856
8.24,3.75
8.25,3.8939641109298533
8.26,4.2
8.27,3.5849056603773586
8.3,4.066468109835827
8.33,4.103092783505154
8.34,3.5
8.35,3.5
8.4,3.884793884793885
8.41,3.699604743083004
8.47,3.3793103448275863
8.5,3.9337604616104382
8.55,4.5
8.59,3.6666666666666665
8.6,3.779659574468085
8.65,3.6944444444444446
8.66,3.9519572953736657
8.67,3.375
8.69,3.8567961165048543
8.7,3.961906560886538
8.72,3.883228840125392
8.74,4.125
8.75,3.929924242424242
8.8,3.9303112313937754
8.85,4.125
8.88,3.0
8.9,3.946951219512195
8.97,4.166666666666667
9,3.95605156886268
9.04,3.9210526315789473
9.05,3.9166666666666665
9.1,3.965207516002478
9.15,4.186046511627907
9.18,4.333333333333333
9.2,3.9630803298717168
9.23,4.166666666666667
9.25,3.7444717444717446
9.28,4.09748427672956
9.3,3.9125065685759326
9.35,4.288732394366197
9.39,3.5634920634920637
9.4,3.9728925353925355
9.44,4.285714285714286
9.46,3.888655462184874
9.5,3.9873162438747958
9.54,3.9
9.6,3.838249685446666
9.61,4.25
9.62,4.270833333333333
9.7,3.9135262449528936
9.71,3.63125
9.73,3.8541666666666665
9.74,4.0
9.75,3.967438494934877
9.78,4.2
9.8,3.893791487700117
9.85,3.9393939393939394
9.9,3.8551745254133496
9.91,4.146875
9.96,3.477272727272727
9.99,3.8688230008984728
