Profile name, Year, Number of reviews
ffejherb,2008,466
largadeer,2008,465
Cyberkedi,2011,465
Halcyondays,2008,463
barleywinefiend,2009,463
twiggamortis420,2009,463
Billolick,2004,462
MasterSki,2009,461
Rastacouere,2004,460
biboergosum,2009,460
GCBrewingCo,2005,459
flagmantho,2010,458
Overlord,2008,458
Phatz,2007,458
chinchill,2011,456
johnmichaelsen,2009,456
Brad007,2007,456
tigg924,2009,455
JohnGalt1,2008,454
DrDemento456,2011,454
Wasatch,2009,454
Phyl21ca,2011,453
KickInTheChalice,2011,453
thekevlarkid,2009,453
IBUnit63,2008,451
glid02,2011,450
atsprings,2007,450
Vancer,2007,450
feloniousmonk,2005,450
Dogbrick,2002,449
Jayli,2009,449
tempest,2009,447
akorsak,2009,447
Stigs,2010,446
RedDiamond,2004,446
Sean9689,2011,446
GCBrewingCo,2006,445
Phyl21ca,2008,445
Phyl21ca,2007,444
ChainGangGuy,2011,444
bjohnson,2006,441
lacqueredmouse,2010,440
bobsy,2008,440
Drew966,2006,439
brentk56,2011,439
mschofield,2004,439
Derek,2006,439
Slynger,2008,439
BuckeyeNation,2010,439
JohnGalt1,2010,439
Gehrig,2008,438
Floydster,2009,438
thierrynantes,2008,437
blitheringidiot,2005,437
ColdPoncho,2011,436
AleWatcher,2011,436
wnhay,2005,433
sweemzander,2010,433
Tone,2010,433
DaPeculierDane,2006,433
paco1029384756,2009,432
TheLongBeachBum,2004,432
Bierman9,2002,430
peensteen,2011,429
Gueuzedude,2007,428
MTNboy,2008,428
DrDemento456,2010,428
avalon07,2011,426
Rayek,2009,426
BEERchitect,2010,425
biegaman,2009,424
superspak,2011,424
billab914,2011,424
kmpitz2,2004,424
clvand0,2005,423
NeroFiddled,2006,423
NeroFiddled,2005,423
dyan,2009,422
Spider889,2011,422
Frozensoul327,2006,422
plaid75,2007,422
MuddyFeet,2005,421
corby112,2009,421
Gavage,2006,421
Viggo,2008,421
zeff80,2007,420
AgentMunky,2011,420
optimator13,2011,420
TheManiacalOne,2011,420
nickd717,2009,420
ppoitras,2006,419
Slatetank,2007,418
jayhawk73,2011,417
ADZA,2011,417
Arbitrator,2009,416
tigg924,2010,416
CharlesDarwin,2006,415
kylehay2004,2011,415
johnmichaelsen,2011,415
Reagan1984,2009,414
Frozensoul327,2005,414
Bitterbill,2008,413
jsprain1,2011,413
DarkerTheBetter,2006,412
jdense,2010,412
emerge077,2008,412
atsprings,2009,411
akorsak,2008,410
Brad007,2009,410
oberon,2006,410
illidurit,2008,410
tone77,2010,409
aracauna,2004,409
thagr81us,2010,408
david18,2010,408
Reagan1984,2008,407
dyan,2008,407
TheLongBeachBum,2006,407
DoubleJ,2008,406
Gavage,2009,406
Pencible,2008,405
HopDerek,2008,404
indiapaleale,2009,404
cokes,2002,403
donnebaby,2004,403
DoubleJ,2009,402
DrJay,2006,402
biegaman,2011,402
secondtooth,2011,402
rhoadsrage,2007,402
smcolw,2008,400
DavoleBomb,2011,400
jrallen34,2011,400
DarthKostrizer,2011,399
armock,2010,399
onix1agr,2010,399
bobsy,2010,397
Hojaminbag,2008,397
tone77,2011,397
woodychandler,2010,396
tgbljb,2007,396
weeare138,2007,396
tempest,2010,395
AKBelgianBeast,2008,393
avalon07,2010,393
russwbeck,2011,393
Daniellobo,2010,392
francisweizen,2005,391
TheLongBeachBum,2005,391
beerwolf77,2010,391
rfgetz,2009,390
Murph,2002,390
Billolick,2005,390
WVbeergeek,2004,390
Hojaminbag,2011,389
ypsifly,2005,389
todd1,2007,388
JizackFH,2011,388
ccrida,2009,387
ckeegan04,2008,387
DoubleJ,2010,387
BierFan,2009,387
mcallister,2006,387
laituegonflable,2009,387
marburg,2003,387
Rhettroactive,2011,387
dirtylou,2006,387
MbpBugeye,2011,386
shand,2011,386
yeahnatenelson,2010,386
BeerResearcher,2003,386
AdamBear,2011,385
Phyl21ca,2010,385
laituegonflable,2011,385
kbutler1,2011,385
BeerSox,2008,385
clayrock81,2009,384
erosier,2008,384
emerge077,2010,384
thierrynantes,2007,383
karst,2005,383
albern,2008,383
DrJay,2005,383
Wildman,2002,382
Brenden,2009,382
Globetrotter,2003,382
crossovert,2011,381
RedDiamond,2009,380
WesWes,2010,380
BEERchitect,2009,380
JoeyBeerBelly,2007,380
Jwale73,2010,380
blitheringidiot,2004,380
rye726,2009,378
NeroFiddled,2007,378
paulthebeerguru,2008,377
htomsirveaux,2009,377
gford217,2010,377
jctribe25,2008,377
wordemupg,2010,377
Gueuzedude,2005,377
Halcyondays,2007,377
n2185,2011,376
scruffwhor,2008,376
WesWes,2008,376
DrJay,2008,376
illidurit,2009,376
BeerAdvocate,2011,375
Bendurgin,2011,375
beagle75,2011,375
froghop,2009,375
donkeyrunner,2009,375
Dogbrick,2003,374
beertunes,2009,374
claspada,2010,374
smcolw,2011,374
TheDM,2003,374
IntriqKen,2007,374
yesyouam,2008,373
CrellMoset,2009,373
plaid75,2009,373
BlackHaddock,2010,373
JohnGalt1,2009,373
BedetheVenerable,2009,373
UnionMade,2003,373
Onenote81,2009,372
sinstaineddemon,2006,372
mentor,2005,372
Duff27,2011,372
jrallen34,2009,372
andrenaline,2011,372
BretSikkink,2007,371
Thorpe429,2009,371
FtownThrowDown,2008,371
Bourre,2004,369
marc77,2003,369
emerge077,2007,369
rfgetz,2011,369
BretSikkink,2008,369
jsh420,2009,368
kegger22,2009,367
Crosling,2004,367
Jwale73,2009,366
jondeelee,2011,366
mothman,2011,366
Halcyondays,2009,366
Slatetank,2011,366
BeerTruth,2007,365
nickfl,2011,365
DIM,2008,365
kinger,2008,365
atsprings,2010,365
aaronh,2003,365
clvand0,2004,364
Reidrover,2003,364
FanofHefe,2011,364
TheManiacalOne,2010,364
wordemupg,2011,363
alcstradamus,2009,362
augustgarage,2010,362
smcolw,2009,362
junjun,2009,362
Slatetank,2010,362
Gavage,2007,361
Cyberkedi,2010,361
claytong,2011,361
Mitchster,2003,361
jmz62565,2006,360
HopsAreOverrated,2008,360
OWSLEY069,2007,359
rallison,2007,359
doughanson78,2011,359
JoeyBeerBelly,2008,359
argock,2009,359
rfgetz,2010,359
cjgator3,2008,359
farrago,2009,358
Georgiabeer,2009,358
rvdoorn,2011,357
Jayli,2010,357
corby112,2008,357
Ryan011235,2010,357
Slatetank,2009,357
beveragecaptain,2005,357
srandycarter,2009,356
drabmuh,2009,356
brendan13,2007,356
eric5bellies,2011,356
WesWes,2007,356
bditty187,2003,356
Phyl21ca,2006,355
DogFood11,2005,355
roadhouse,2008,355
oberon,2004,354
oberon,2011,354
Westsidethreat,2007,354
woosterbill,2010,354
spointon,2009,354
mcallister,2007,354
BEERchitect,2007,354
ark57,2004,353
jjayjaye,2007,353
wl0307,2009,353
ArrogantB,2007,353
Sunnanek,2011,352
beergeek279,2004,352
flexabull,2007,352
pmcadamis,2007,352
smcolw,2010,351
Rutager,2011,350
AlexJ,2005,350
AltBock,2008,349
Durge,2009,349
pezoids,2004,349
NeroFiddled,2009,349
glid02,2008,349
John,2002,348
pmcadamis,2008,348
david18,2009,348
nlmartin,2006,348
Gueuzedude,2006,348
alleykatking,2011,347
Overlord,2009,347
BeerSox,2009,347
ADR,2003,346
tone77,2009,346
MaltyGoodness,2006,346
KeefD,2008,345
portia99,2010,345
SurlyDuff,2008,345
sweemzander,2011,345
StevieW,2002,345
Wasatch,2010,344
MABZ,2005,344
cswhitehorse,2008,344
DaveHS,2011,344
CampusCrew,2010,343
botham,2008,343
Gavage,2004,343
orbitalr0x,2005,343
BlindPig,2007,343
Stinkypuss,2008,343
DovaliHops,2011,342
MoreThanWine,2011,342
coldmeat23,2009,342
CrazyDavros,2011,342
geexploitation,2006,341
pwoods,2008,341
Deuane,2010,341
Greggy,2008,340
Zorro,2006,340
Gueuzedude,2010,340
ffejherb,2010,339
Globetrotter,2004,339
mduncan,2011,339
Tone,2011,339
mrmanning,2009,339
Bighuge,2003,339
johnmichaelsen,2008,338
TastyTaste,2006,338
FtownThrowDown,2009,338
cbutova,2010,338
PittBeerGirl,2007,337
TurdFurgison,2010,337
dnichols,2008,337
Phelps,2010,337
Morris729,2003,337
OWSLEY069,2010,337
TastyTaste,2004,337
twiggamortis420,2011,336
russpowell,2009,336
warnerry,2011,336
WesWes,2009,336
oberon,2010,336
atis,2009,336
brdc,2008,336
JamesS,2008,336
AleWatcher,2010,336
emerge077,2009,335
StJamesGate,2011,335
Haybeerman,2010,335
ccrida,2007,335
nhindian,2011,335
Cyberkedi,2009,335
Mistofminn,2009,334
Derek,2007,334
Wasatch,2006,333
MuenchenerKindl,2006,333
scottoale,2006,332
morimech,2008,332
ATPete,2008,332
dherling,2006,332
deltatauhobbit,2008,331
Mitchster,2004,331
woodske1,2009,331
popery,2009,330
jera1350,2010,330
ThreeWiseMen,2009,330
drpimento,2009,330
NJpadreFan,2008,329
WilliamPhilaPa,2002,329
steve8robin,2010,329
MisterClean,2009,329
tobelerone,2011,329
RichLightweight,2006,329
soupyman10,2007,329
bennetj17,2006,329
zaphodchak,2011,328
champ103,2009,328
WVbeergeek,2010,328
Nickls,2009,328
onix1agr,2011,327
BlackHaddock,2011,326
jera1350,2011,326
ChugginOil,2011,326
Absumaster,2007,326
woodychandler,2009,326
biegaman,2006,325
marlinsfan4,2008,325
Jwale73,2008,325
WVbeergeek,2011,325
spinrsx,2010,325
richkrull,2011,325
zoso1967,2010,325
Brad007,2008,324
BEERchitect,2011,324
Bitterbill,2009,324
scottfrie,2010,324
cbutova,2011,324
Gueuzedude,2004,324
johnnnniee,2011,324
Vancer,2006,323
DoubleJ,2007,323
Brabander,2011,323
mjl21,2009,323
merlin48,2005,322
albern,2009,322
grayburn,2009,322
brewdlyhooked13,2008,322
philipquarles,2009,321
oglmcdgl,2010,321
sholland119,2008,321
elgiacomo,2010,321
SpeedwayJim,2010,320
Traquairlover,2008,320
kimcgolf,2006,320
corby112,2010,320
rhoadsrage,2005,320
JoeyBeerBelly,2009,319
TheSevenDuffs,2011,319
koopa,2010,319
Offa,2009,319
pentathlete,2005,319
sleazo,2007,318
tavernjef,2004,318
joemcgrath27,2011,318
oberon,2005,318
Viggo,2005,318
RBorsato,2005,317
srandycarter,2010,317
prototypic,2009,317
blackie,2006,316
Lexluthor33,2008,316
bucklemyshoe,2011,316
jsh420,2010,316
GbVDave,2007,316
homebrew311,2011,315
trappistlover,2011,315
Brent,2010,315
Vancer,2009,315
Bung,2009,315
JoEBoBpr,2010,315
HalfFull,2009,315
nomad,2003,314
Jimmys,2011,314
billshmeinke,2010,314
Parrotbeak,2010,314
whartontallboy,2005,314
Oxymoron,2008,313
johnmichaelsen,2007,313
marcpal,2008,313
ncvbc,2008,312
Crosling,2008,312
orangesol,2011,312
vandemonian,2011,312
TheSevenDuffs,2010,312
bamadog,2010,312
jdhilt,2007,311
u2carew,2009,311
beertaster13,2004,311
wl0307,2007,311
Vdubb86,2010,311
bluejacket74,2011,311
Florida9,2011,310
ccrida,2010,310
maximum12,2009,310
champ103,2008,310
wl0307,2008,310
brentk56,2005,310
MattyG85,2011,310
Daniellobo,2011,310
Hojaminbag,2009,309
BeerFMAndy,2011,309
grub,2008,309
Shiloh,2003,309
aracauna,2002,309
cbl2,2006,309
meathookjones,2004,309
Ryan011235,2011,309
aforbes10,2006,309
beergeek279,2003,309
Enola,2006,308
merc7186,2011,308
cokes,2003,308
Gagnonsux,2005,308
grub,2007,307
spointon,2008,307
allergictomacros,2008,307
scottum,2003,307
brownbeer,2010,307
drseamus,2007,307
laituegonflable,2010,307
silentjay,2010,306
ritzkiss,2009,306
maximum12,2011,305
ZAP,2003,305
Gmann,2008,305
weeare138,2010,305
roadhouse,2009,304
prototypic,2008,304
goblue3509,2009,304
Zorro,2007,304
Mebuzzard,2011,304
nickfl,2009,304
oberon,2007,304
DrewCapzz,2011,303
nrbw23,2008,303
RblWthACoz,2009,303
fitzy84,2008,303
number1bum,2008,303
Tucquan,2011,302
jdhilt,2006,302
BEERchitect,2008,302
Docer,2009,302
jamescain,2011,302
GbVDave,2008,302
ADZA,2009,302
argock,2008,302
SFLpunk,2011,302
Derek,2008,302
biegaman,2010,301
Nerudamann,2011,301
rtepiak,2011,301
BierReise,2003,301
ShadesOfGray,2010,301
weeare138,2008,301
jackndan,2002,300
micromaniac129,2011,300
philbertk,2010,300
Dogbrick,2007,300
BeerNinja007,2010,300
rowingbrewer,2011,300
elNopalero,2011,299
Anthony1,2009,299
DoubleJ,2011,299
cvfish,2009,299
maximum12,2010,299
bditty187,2004,299
andrenaline,2010,299
MeisterBurger,2009,299
ElGuapo,2003,299
blitheringidiot,2006,299
RBorsato,2003,298
JamnesCameron,2011,298
OWSLEY069,2008,298
sulldaddy,2004,298
jjanega08,2009,298
jmkratt,2011,298
msubulldog25,2007,298
Absumaster,2006,298
hanco005,2006,297
KarlHungus,2009,297
tempest,2011,297
shadow1961,2007,297
blackie,2010,297
sholland119,2009,297
projectflam86,2009,296
DrinkingDrake,2011,296
tavernjef,2005,296
ZAP,2002,296
pwent,2008,296
SWMeyer4141,2011,296
aerozeppl,2009,296
OldFrothingSlosh,2003,296
Hojaminbag,2010,296
necoadam,2004,295
cokes,2004,295
cubedbee,2005,295
Bighuge,2004,295
SpdKilz,2011,294
TurdFurgison,2011,294
GDBEERMAN,2010,294
iheartsheafstout,2005,293
everetends,2008,293
Marcus6679,2008,293
Yoonisaykul,2010,293
goz,2003,293
donkeyrunner,2010,293
kingcrowing,2009,292
santoslhalper,2005,292
seeswo,2011,292
Zorro,2005,292
pootz,2010,292
KajII,2011,292
MuenchenerKindl,2008,291
armock,2008,291
biegaman,2007,291
Derek,2009,291
GRG1313,2009,291
Viggo,2006,291
beertunes,2011,290
jctribe25,2009,290
Mebuzzard,2007,290
morimech,2010,290
kbub6f,2003,290
crookedhalo,2004,290
kwjd,2011,289
ricke,2009,289
wagenvolks,2008,289
yourefragile,2011,289
rlee1390,2011,289
lordofthewiens,2006,289
RoyalT,2005,289
NJpadreFan,2009,289
carln26,2005,289
Bitterbill,2007,289
jmarsh123,2011,288
IBUnit63,2009,288
AmericanGothic,2011,288
Onenote81,2010,288
Dreadnaught33,2011,288
wordemupg,2009,288
drtth,2009,288
NJpadreFan,2007,288
GbVDave,2009,287
Haybeerman,2009,287
jcdiflorio,2007,287
Monkeyknife,2008,287
far333,2003,287
battlekow,2005,287
GClarkage,2007,287
SFLpunk,2010,287
pezoids,2003,286
Drew966,2007,286
biggred1,2009,286
PDXHops,2011,286
Ragingbull,2009,286
kmpitz2,2006,286
Brenden,2011,286
rtepiak,2010,286
Durge,2008,286
drpimento,2011,285
Viggo,2010,285
homebrew311,2010,285
nrbw23,2011,285
beerthulhu,2010,285
TurdFurgison,2006,285
champ103,2011,284
plaid75,2008,284
Gmann,2009,284
Sunnanek,2010,284
ferrari29,2011,284
beerthulhu,2009,283
jmdrpi,2011,283
jazzyjeff13,2011,283
granger10,2004,283
Metalmonk,2006,283
BeerTruth,2008,283
BlackHaddock,2009,283
beer2day,2009,283
chodinheaven,2011,282
russpowell,2010,282
HopHead84,2010,282
KarlHungus,2008,282
Chriscrundwell12,2011,281
barleywinebrewer,2008,281
Dithyramb,2005,281
bamadog,2009,281
Brent,2001,281
lacqueredmouse,2009,280
KTCamm,2009,280
plfahey,2011,280
DaftCaskBC,2011,280
warriorsoul,2005,280
DrJay,2010,280
brdc,2007,279
nickfl,2010,279
Mosstrooper,2010,279
djbreezy,2010,278
mynie,2005,278
LilBeerDoctor,2010,278
Tim,2002,278
Tilley4,2008,278
WakeandBake,2009,278
chugalug06,2011,278
jdense,2011,277
DmanGTR,2010,277
jasonjlewis,2008,277
dyan,2011,277
womencantsail,2009,277
ShogoKawada,2009,277
wedge,2006,277
bark,2007,277
optimator13,2010,277
katan,2009,277
wagenvolks,2009,277
russpowell,2011,277
colts9016,2009,277
granger10,2005,276
Gmann,2007,276
BarrelO,2009,276
perrymarcus,2011,276
Todd,2002,276
meathookjones,2005,275
TheFightfan1,2009,275
jwinship83,2009,275
aerozeppl,2010,275
htomsirveaux,2010,275
grub,2009,275
JMad,2011,275
CrazyDavros,2010,274
pokesbeerdude,2009,274
CampusCrew,2009,274
plaid75,2010,274
maddogruss,2008,274
ToasterChef,2010,274
Brad007,2010,274
canucklehead,2005,274
SheepNutz,2004,274
Metalmonk,2008,274
Pencible,2010,274
bluemoonswoon,2008,274
jdhilt,2004,274
Skidz,2004,274
alleykatking,2009,273
gatornation,2011,273
rowew,2005,273
SPLITGRIN,2008,273
genog,2007,272
rhoadsrage,2011,272
whynot44,2005,272
JohnnyChicago,2011,272
CHSLBrew,2009,272
UncleJimbo,2004,272
SpdKilz,2010,271
donniecuffs,2010,271
UnionMade,2004,271
bump8628,2010,271
granger10,2006,271
WVbeergeek,2006,271
DavoleBomb,2010,271
puboflyons,2009,271
NJpadreFan,2006,271
Metalmonk,2007,271
NODAK,2010,270
augustgarage,2011,270
dirtylou,2010,270
cokes,2005,270
Reagan1984,2011,270
connecticutpoet,2004,270
dansmcd,2011,270
puboflyons,2010,269
jpm30,2005,269
Gobzilla,2011,269
Proteus93,2009,269
Amalak,2009,269
StonedTrippin,2011,269
atsprings,2008,269
Phyl21ca,2005,269
Georgiabeer,2011,269
ummswimmin,2011,269
sweemzander,2009,269
largadeer,2011,268
BradLikesBrew,2008,268
ATLbeerDog,2008,268
Dogbrick,2004,268
JAXSON,2011,268
acrawf6,2006,268
srandycarter,2008,268
Scotchboy,2011,268
TurdFurgison,2009,268
Rayek,2008,268
stcules,2008,267
Cyberkedi,2008,267
GbVDave,2010,267
Gavage,2010,267
bluejacket74,2007,267
granger10,2003,267
SIRIUS2,2008,267
Boilermaker88,2003,267
alexgash,2004,267
birchstick,2011,267
ShogoKawada,2010,266
clvand0,2003,266
weeare138,2009,266
samie85,2010,266
TheHoppiest,2011,266
jwinship83,2011,266
Brent,2003,266
Clydesdale,2009,266
craytonic,2010,266
daliandragon,2006,266
Chaney,2010,265
Satchboogie,2011,265
franksnbeans,2007,265
StJamesGate,2010,265
orangemoustache,2008,265
stcules,2007,265
Buebie,2009,265
goochpunch,2007,265
jale,2011,265
Duhast500,2009,265
Bfarr,2010,265
AwYeh,2011,265
puboflyons,2011,265
Billolick,2006,265
thain709,2011,264
MisterClean,2008,264
hardy008,2010,264
zeledonia,2011,264
popery,2010,264
gford217,2011,264
Stinkypuss,2009,264
SkeeterHawk,2011,263
mustinsmitty,2010,263
ommegangpbr,2005,263
drxandy,2008,263
younger35,2009,262
hosehead83,2010,262
NeroFiddled,2004,262
Pencible,2009,262
Gyle41386,2009,262
Jason,2003,262
barleywinebrewer,2007,262
Derek,2005,262
Vdubb86,2011,261
gatornation,2010,261
Brad007,2011,261
Duhast500,2010,261
CHickman,2010,260
koopa,2009,260
tigg924,2011,260
Overlord,2010,260
Overlord,2007,260
Vancer,2008,260
GClarkage,2008,260
Absumaster,2008,260
Seanibus,2010,260
soupyman10,2008,260
Slatetank,2008,260
Jwale73,2011,260
yemenmocha,2009,259
AgentMunky,2010,259
ADR,2004,259
FeDUBBELFIST,2010,259
Arithmeticus,2011,259
Rayek,2010,259
nickd717,2011,259
geexploitation,2007,259
hwwty4,2008,259
kingcrowing,2011,259
wagenvolks,2007,259
Todd,2001,259
todd1,2006,258
OtherShoe2,2011,258
DavidST,2011,258
kbub6f,2004,258
jasonjlewis,2007,258
sulldaddy,2005,258
azdback,2011,257
Mebuzzard,2006,257
erz316,2009,257
paco1029384756,2008,257
ngandhi,2004,257
Chico1985,2010,257
Durge,2007,257
bobhits,2011,257
tai4ji2x,2008,257
RedDiamond,2005,256
PatronWizard,2008,256
largadeer,2009,256
OtherShoe2,2010,256
mynie,2006,256
mrfrancis,2011,256
dasenebler,2010,256
Haybeerman,2008,256
TLove,2009,256
blakesell,2008,255
armock,2009,255
froghop,2008,255
Metalmonk,2010,255
RutgersBeerGuy,2007,255
cypressbob,2004,255
brewandbbq,2008,255
joepais,2008,255
frank4sail,2002,255
Billolick,2009,255
ShanePB,2011,254
Klym,2011,254
bigfnjoe,2010,254
flagmantho,2009,254
cjgator3,2009,254
farrago,2010,254
jzeilinger,2010,254
SpeedwayJim,2011,254
Durge,2010,254
DaPeculierDane,2007,254
bluejacket74,2010,254
PeprSprYoFace,2011,253
PatandDavid,2004,253
morbiddrumer,2005,253
botham,2009,253
rtepiak,2009,253
woodychandler,2008,253
philbe311,2009,253
jdhilt,2008,253
soju6,2011,253
Docer,2010,253
Brunite,2011,252
OakedCanuck,2011,252
ThaCreep,2010,252
ADZA,2010,252
OtherShoe2,2009,252
Gmann,2011,251
Bouleboubier,2010,251
blackie,2009,251
jpmclaug,2010,251
TurdFurgison,2007,251
Alieniloquium,2011,251
sisuspeed,2010,251
RedDiamond,2007,250
stumac,2008,250
match1112,2011,250
Golden2wenty1,2006,250
david131,2010,250
Vancer,2005,250
tytoanderso,2008,250
joe1510,2008,250
alexgash,2006,250
Jeffo,2011,250
Phyl21ca,2004,250
srandycarter,2011,250
jera1350,2009,249
9InchNails,2011,249
ppoitras,2007,249
jsprain1,2010,249
tgbljb,2008,249
feloniousmonk,2006,249
ggaughan,2006,249
kimcgolf,2007,249
GratefulBeerGuy,2008,249
biggmike,2007,249
mrasskicktastic,2006,249
BBM,2007,249
Cyberkedi,2007,249
buschbeer,2010,249
John,2001,248
rhinos00,2009,248
DIM,2009,248
Dogbrick,2006,248
